,Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility,Delta
24-07-09,2024-07-1013:42 EST,DAL,46.71,Call,47,10776,7/12/2024,2,1.5,1.51,1.51,1.51,4932,2.18,1.1857,0.491605
24-07-09,2024-07-1013:42 EST,CRM,248.93,Call,252.5,1175,7/12/2024,2,0.84,0.88,0.92,0.89,259,4.54,0.3213,0.254139
24-07-09,2024-07-1013:42 EST,DAL,46.71,Put,46.5,4649,7/12/2024,2,1.5,1.51,1.51,1.51,2200,2.11,1.1799,-0.459974
24-07-09,2024-07-1013:42 EST,DAL,46.71,Put,43,1816,7/12/2024,2,0.3,0.31,0.31,0.3,1166,1.56,1.1111,-0.146123
24-07-09,2024-07-1013:42 EST,DKNG,36.04,Put,35.5,16432,7/19/2024,9,0.72,0.73,0.73,0.73,453,36.27,0.4447,-0.394216
24-07-10,2024-07-1013:42 EST,"TSLA
watching",266.31,Put,250,14689,7/19/2024,9,3.4,3.43,3.45,3.4,7544,1.95,0.5925,-0.226346
24-07-10,2024-07-1013:42 EST,"TSLA
watching",266.31,Call,280,50646,7/12/2024,2,1.71,1.72,1.73,1.74,26872,1.88,0.7736,0.205698
24-07-10,2024-07-1013:42 EST,"TSLA
watching",266.31,Call,275,69377,7/12/2024,2,2.73,2.75,2.76,2.74,16057,4.32,0.7503,0.300075
24-07-10,2024-07-1013:42 EST,"TSLA
watching",266.31,Call,272.5,15817,7/12/2024,2,3.4,3.45,3.5,3.4,5554,2.85,0.7349,0.356271
24-07-10,2024-07-1013:42 EST,"TSLA
watching",266.31,Call,280,12786,7/19/2024,9,5.4,5.43,5.45,5.4,9660,1.32,0.6238,0.330879
24-07-10,2024-07-1013:42 EST,"TSLA
watching",266.31,Call,265,25728,7/19/2024,9,10.9,10.93,10.95,10.9,8163,3.15,0.5942,0.55019
